,t,x,y,status,evt
0,0.0,1.5602305,-0.45540455,False,0
1,0.001,1.5683143,-0.4580986,False,0
2,0.002,1.5817878,-0.4931293,False,0
3,0.003,1.5817878,-0.43923536,False,0
4,0.004,1.576398,-0.43384564,False,0
5,0.005,1.5386716,-0.42845756,False,0
6,0.006,1.5710083,-0.43384564,False,0
7,0.007,1.6249022,-0.41767812,False,0
8,0.008,1.573704,-0.44462508,False,0
9,0.009,1.606039,-0.41498408,False,0
10,0.01,1.6114287,-0.4823515,False,0
11,0.011,1.5359776,-0.5066028,False,0
12,0.012,1.5710083,-0.4634883,False,0
13,0.013,1.5710083,-0.49851903,False,0
14,0.014,1.5683143,-0.44731912,False,0
15,0.015,1.5602305,-0.5146866,False,0
16,0.016,1.5305879,-0.4877396,False,0
17,0.017,1.4901674,-0.5200763,False,0
18,0.018,1.5036409,-0.5712762,False,0
19,0.019,1.5090306,-0.50390875,False,0
20,0.02,1.4605263,-0.525466,False,0
21,0.021,1.573704,-0.51738226,False,0
22,0.022,1.4982512,-0.49851903,False,0
23,0.023,1.5413673,-0.49851903,False,0
24,0.024,1.5359776,-0.52277195,False,0
25,0.025,1.4955571,-0.49043527,False,0
26,0.026,1.5656186,-0.4931293,False,0
27,0.027,1.4982512,-0.54163355,False,0
28,0.028,1.5602305,-0.5308557,False,0
29,0.029,1.5036409,-0.5146866,False,0
30,0.03,1.5413673,-0.56049675,False,0
31,0.031,1.5171144,-0.5119925,False,0
32,0.032,1.5225041,-0.5443292,False,0
33,0.033,1.5251981,-0.54702324,False,0
34,0.034,1.546757,-0.5066028,False,0
35,0.035,1.546757,-0.5146866,False,0
36,0.036,1.5629245,-0.5119925,False,0
37,0.037,1.5602305,-0.5119925,False,0
38,0.038,1.6141244,-0.5308557,False,0
39,0.039,1.5952612,-0.52277195,False,0
40,0.04,1.5979553,-0.54702324,False,0
41,0.041,1.5521451,-0.57666594,False,0
42,0.042,1.6087347,-0.50390875,False,0
43,0.043,1.5683143,-0.5874437,False,0
44,0.044,1.5629245,-0.549719,False,0
45,0.045,1.600651,-0.51738226,False,0
46,0.046,1.573704,-0.5389395,False,0
47,0.047,1.6626287,-0.5066028,False,0
48,0.048,1.6249022,-0.49851903,False,0
49,0.049,1.6437654,-0.46887803,False,0
50,0.05,1.606039,-0.4742661,False,0
51,0.051,1.6437654,-0.4580986,False,0
52,0.052,1.5925655,-0.44193104,False,0
53,0.053,1.576398,-0.495825,False,0
54,0.054,1.5871775,-0.4580986,False,0
55,0.055,1.5710083,-0.46887803,False,0
56,0.056,1.5898715,-0.48504555,False,0
57,0.057,1.5979553,-0.44731912,False,0
58,0.058,1.5898715,-0.45540455,False,0
59,0.059,1.5871775,-0.4931293,False,0
60,0.06,1.5817878,-0.4877396,False,0
61,0.061,1.5683143,-0.4580986,False,0
62,0.062,1.5925655,-0.49043527,False,0
63,0.063,1.5844818,-0.47965583,False,0
64,0.064,1.5683143,-0.49043527,False,0
65,0.065,1.5817878,-0.4742661,False,0
66,0.066,1.5844818,-0.4877396,False,0
67,0.067,1.579092,-0.44193104,False,0
68,0.068,1.5332836,-0.495825,False,0
69,0.069,1.5629245,-0.47965583,False,0
70,0.07,1.5898715,-0.45270884,False,0
71,0.071,1.5521451,-0.4742661,False,0
72,0.072,1.5359776,-0.45270884,False,0
73,0.073,1.579092,-0.4931293,False,0
74,0.074,1.5575348,-0.4877396,False,0
75,0.075,1.5305879,-0.4769618,False,0
76,0.076,1.5683143,-0.5066028,False,0
77,0.077,1.5817878,-0.5012131,False,0
78,0.078,1.5575348,-0.5092985,False,0
79,0.079,1.5413673,-0.4500148,False,0
80,0.08,1.5521451,-0.5443292,False,0
81,0.081,1.5332836,-0.52816004,False,0
82,0.082,1.5521451,-0.5631924,False,0
83,0.083,1.5090306,-0.5146866,False,0
84,0.084,1.5656186,-0.55510706,False,0
85,0.085,1.5225041,-0.5389395,False,0
86,0.086,1.6141244,-0.52277195,False,0
87,0.087,1.5817878,-0.4931293,False,0
88,0.088,1.5413673,-0.57397026,False,0
89,0.089,1.5952612,-0.5200763,False,0
90,0.09,1.6087347,-0.4877396,False,0
91,0.091,1.5548408,-0.52816004,False,0
92,0.092,1.5683143,-0.52277195,False,0
93,0.093,1.576398,-0.5712762,False,0
94,0.094,1.546757,-0.59283346,False,0
95,0.095,1.5602305,-0.53624547,False,0
96,0.096,1.579092,-0.56049675,False,0
97,0.097,1.5844818,-0.57397026,False,0
98,0.098,1.5575348,-0.5685805,False,0
99,0.099,1.576398,-0.49851903,False,0
100,0.1,1.6114287,-0.52816004,True,1
101,0.101,1.606039,-0.51738226,True,1
102,0.102,1.5575348,-0.55780274,True,1
103,0.103,1.573704,-0.55780274,True,1
104,0.104,1.5548408,-0.5335498,True,1
105,0.105,1.5898715,-0.5389395,True,1
106,0.106,1.5871775,-0.549719,True,1
107,0.107,1.5898715,-0.582054,True,1
108,0.108,1.606039,-0.54163355,True,1
109,0.109,1.6707125,-0.525466,True,1
110,0.11,1.6491553,-0.47965583,True,1
111,0.111,1.6168185,-0.5685805,True,1
112,0.112,1.6087347,-0.495825,True,1
113,0.113,1.6141244,-0.5308557,True,1
114,0.114,1.606039,-0.5443292,True,1
115,0.115,1.6114287,-0.5200763,True,1
116,0.116,1.6222082,-0.5092985,True,1
117,0.117,1.5952612,-0.59822315,True,1
118,0.118,1.6087347,-0.5012131,True,1
119,0.119,1.6356817,-0.5119925,True,1
120,0.12,1.603345,-0.5092985,True,1
121,0.121,1.659933,-0.5119925,True,1
122,0.122,1.6437654,-0.4877396,True,1
123,0.123,1.6491553,-0.49043527,True,1
124,0.124,1.6356817,-0.549719,True,1
125,0.125,1.5979553,-0.5200763,True,1
126,0.126,1.6275979,-0.53624547,True,1
127,0.127,1.6222082,-0.50390875,True,1
128,0.128,1.5925655,-0.5200763,True,1
129,0.129,1.5871775,-0.4634883,True,1
130,0.13,1.576398,-0.4742661,True,1
131,0.131,1.6329861,-0.5119925,True,1
132,0.132,1.573704,-0.5443292,True,1
133,0.133,1.600651,-0.5119925,True,1
134,0.134,1.5683143,-0.5146866,True,1
135,0.135,1.5898715,-0.5092985,True,1
136,0.136,1.5925655,-0.54163355,True,1
137,0.137,1.606039,-0.525466,True,1
138,0.138,1.5683143,-0.57666594,True,1
139,0.139,1.5952612,-0.552413,True,1
140,0.14,1.579092,-0.50390875,True,1
141,0.141,1.5844818,-0.43654132,True,1
142,0.142,1.6141244,-0.5119925,True,1
143,0.143,1.5871775,-0.5066028,True,1
144,0.144,1.5440613,-0.4823515,True,1
145,0.145,1.6114287,-0.5146866,True,1
146,0.146,1.5817878,-0.5335498,True,1
147,0.147,1.5440613,-0.5443292,True,1
148,0.148,1.5683143,-0.552413,True,1
149,0.149,1.5925655,-0.56049675,True,1
150,0.15,1.5359776,-0.5092985,True,1
151,0.151,1.6087347,-0.495825,True,1
152,0.152,1.5386716,-0.56049675,True,1
153,0.153,1.5575348,-0.57666594,True,1
154,0.154,1.5656186,-0.5685805,True,1
155,0.155,1.546757,-0.525466,True,1
156,0.156,1.5548408,-0.5443292,True,1
157,0.157,1.5413673,-0.525466,True,1
158,0.158,1.5359776,-0.51738226,True,1
159,0.159,1.5063366,-0.5146866,True,1
160,0.16,1.546757,-0.55780274,True,1
161,0.161,1.5117246,-0.54163355,True,1
162,0.162,1.5575348,-0.5092985,True,1
163,0.163,1.5494511,-0.5119925,True,1
164,0.164,1.5036409,-0.5146866,True,1
165,0.165,1.546757,-0.5146866,True,1
166,0.166,1.5521451,-0.4823515,True,1
167,0.167,1.5225041,-0.5631924,True,1
168,0.168,1.546757,-0.582054,True,1
169,0.169,1.4793895,-0.52816004,True,1
170,0.17,1.5090306,-0.59283346,True,2
171,0.171,1.4955571,-0.5685805,True,2
172,0.172,1.4281896,-0.5092985,True,2
173,0.173,1.3527385,-0.44462508,True,2
174,0.174,1.2368668,-0.40959436,True,2
175,0.175,1.0859628,-0.3287534,True,2
176,0.176,0.96470135,-0.31797397,True,2
177,0.177,0.8919442,-0.29641673,True,2
178,0.178,0.68714786,-0.23443902,True,2
179,0.179,0.6063069,-0.15629213,True,2
180,0.18,0.42576188,-0.17515534,True,2
181,0.181,0.22096552,-0.10239818,True,2
182,0.182,0.15359809,-0.05658799,True,2
183,0.183,0.12665111,-0.04042046,True,2
184,0.184,0.05658799,-0.045810185,True,2
185,0.185,-0.013473487,-0.059283674,True,2
186,0.186,0.010779448,-0.07814688,True,3
187,0.187,0.035030738,-0.016167527,True,3
188,0.188,0.07275716,-0.04042046,True,3
189,0.189,0.11048194,-0.08623065,True,3
190,0.19,0.1077879,-0.08084092,True,3
191,0.191,0.25330222,-0.05119991,True,3
192,0.192,0.19940828,-0.12665111,True,3
193,0.193,0.2479125,-0.1589878,True,3
194,0.194,0.25599626,-0.11856735,True,3
195,0.195,0.2856373,-0.11317763,True,3
196,0.196,0.34222692,-0.13473487,True,3
197,0.197,0.33144745,-0.12934515,True,1
198,0.198,0.32605773,-0.16976562,True,1
199,0.199,0.32605773,-0.08623065,True,1
200,0.2,0.33414316,-0.1401246,True,1
201,0.201,0.36109012,-0.12934515,True,1
202,0.202,0.3045005,-0.11587166,True,1
203,0.203,0.3287534,-0.11856735,True,1
204,0.204,0.3098902,-0.11587166,True,1
205,0.205,0.33414316,-0.1077879,True,1
206,0.206,0.3233637,-0.11317763,True,1
207,0.207,0.3664782,-0.15629213,True,1
208,0.208,0.34222692,-0.08623065,True,1
209,0.209,0.3045005,-0.12934515,True,1
210,0.21,0.2802492,-0.12665111,True,1
211,0.211,0.28294325,-0.12395543,True,1
212,0.212,0.29911077,-0.09431441,True,1
213,0.213,0.2937227,-0.09970414,True,1
214,0.214,0.28294325,-0.13204083,True,1
215,0.215,0.28294325,-0.11856735,True,1
216,0.216,0.31527993,-0.0646734,True,1
217,0.217,0.26946974,-0.09700845,True,1
218,0.218,0.25330222,-0.12126139,True,1
219,0.219,0.2748595,-0.0646734,True,1
220,0.22,0.33144745,-0.10239818,True,1
221,0.221,0.25599626,-0.1401246,True,1
222,0.222,0.28833297,-0.070061475,True,1
223,0.223,0.30180645,-0.11048194,True,1
224,0.224,0.26946974,-0.14820836,True,1
225,0.225,0.28294325,-0.11587166,True,1
226,0.226,0.34222692,-0.07814688,True,1
227,0.227,0.29641673,-0.1077879,True,1
228,0.228,0.3233637,-0.1401246,True,1
229,0.229,0.29911077,-0.09431441,True,1
230,0.23,0.2856373,-0.11048194,True,1
231,0.231,0.30180645,-0.11587166,True,1
232,0.232,0.30180645,-0.19401854,True,1
233,0.233,0.3045005,-0.12665111,True,1
234,0.234,0.38264737,-0.1509024,True,1
235,0.235,0.31258425,-0.11048194,True,1
236,0.236,0.3233637,-0.16707158,True,1
237,0.237,0.26138598,-0.14820836,True,1
238,0.238,0.28294325,-0.17784938,True,1
239,0.239,0.33144745,-0.20749204,True,1
240,0.24,0.36109012,-0.12126139,True,1
241,0.241,0.2748595,-0.20479636,True,1
242,0.242,0.3098902,-0.18054506,True,1
243,0.243,0.37725765,-0.19671258,True,1
244,0.244,0.29911077,-0.16707158,True,1
245,0.245,0.32066965,-0.11587166,True,1
